symbol,time,action,price,actual_price,shares,gross_value,commission,slippage_cost,net_value,gross_pnl,net_pnl,gross_return,net_return
LMT,2024-03-28 15:01:00,NEXT_DAY_EXIT,455.205,454.749795,124,56388.97458,1.0,56.445419999997284,56387.97458,-21.080000000001974,-135.99191999999925,-0.0003733186933846081,-0.002405916081632368
SMCI,2024-03-27 15:47:00,BUY,101.791,101.89279099999999,185,18850.166334999998,1.0,18.831334999998433,18851.166334999998,,,,
SMCI,2024-03-28 15:00:00,NEXT_DAY_EXIT,101.159,101.05784100000001,185,18695.700585000002,1.0,18.71441499999918,18694.700585000002,-116.9199999999983,-156.46574999999746,-0.006208800385102718,-0.00830005672961972
GE,2024-04-03 16:05:00,BUY,145.75,145.89575,387,56461.655249999996,1.935,56.405249999997096,56463.590249999994,,,,
GE,2024-04-04 15:00:00,NEXT_DAY_EXIT,147.675,147.52732500000002,387,57093.07477500001,1.935,57.15022499999708,57091.13977500001,744.9750000000045,627.5495250000074,0.0132075471698114,0.01111423347720981
COIN,2024-04-05 15:41:00,BUY,242.0799,242.32197989999997,169,40952.4146031,1.0,40.911503099994036,40953.4146031,,,,
COIN,2024-04-08 15:00:00,NEXT_DAY_EXIT,259.28,259.02072,169,43774.501679999994,1.0,43.818319999998266,43773.501679999994,2906.816899999994,2820.0870768999957,0.07105133470395503,0.06886085334350917
ENB,2024-04-12 16:07:00,BUY,34.25,34.28424999999999,434,14879.364499999998,2.17,14.864499999996966,14881.534499999998,,,,
ENB,2024-04-15 15:56:00,NEXT_DAY_EXIT,33.77,33.736230000000006,434,14641.523820000002,2.17,14.656179999998685,14639.353820000002,-208.31999999999863,-242.18067999999732,-0.014014598540145895,-0.01627390508687107
SMCI,2024-04-16 15:58:00,BUY,97.51,97.60750999999999,224,21864.082239999996,1.12,21.842239999996764,21865.202239999995,,,,
SMCI,2024-04-17 15:00:00,NEXT_DAY_EXIT,96.206,96.10979400000001,224,21528.593856000003,1.12,21.55014399999891,21527.473856000004,-292.09600000000046,-337.7283839999994,-0.013372987385909158,-0.015445930034992412
LULU,2024-04-16 16:02:00,BUY,335.43,335.76543,81,27196.999829999997,1.0,27.169829999997887,27197.999829999997,,,,
LULU,2024-04-17 15:51:00,NEXT_DAY_EXIT,345.31,344.96469,81,27942.139890000002,1.0,27.97010999999867,27941.139890000002,800.2799999999996,743.140060000001,0.029454729749873284,0.027323334974813145
BDX,2024-04-19 15:49:00,BUY,233.1501,233.38325009999997,108,25205.3910108,1.0,25.180210799995734,25206.3910108,,,,
BDX,2024-04-22 15:00:00,NEXT_DAY_EXIT,235.12,234.88488,108,25367.56704,1.0,25.392959999999448,25366.56704,212.74919999999952,160.17602920000007,0.008449063500294425,0.0063545800400926335
ECL,2024-04-19 15:49:00,BUY,218.173,218.39117299999998,116,25333.376067999998,1.0,25.308067999997547,25334.376067999998,,,,
ECL,2024-04-22 15:42:00,NEXT_DAY_EXIT,219.43,219.21057000000002,116,25428.426120000004,1.0,25.453879999998662,25427.426120000004,145.81200000000058,93.05005200000191,0.005761482859932278,0.003672877190669558
SHW,2024-04-19 15:49:00,BUY,306.46,306.76645999999994,82,25154.849719999995,1.0,25.12971999999661,25155.849719999995,,,,
SHW,2024-04-22 15:26:00,NEXT_DAY_EXIT,311.035,310.723965,82,25479.365130000002,1.0,25.504870000000324,25478.365130000002,375.15000000000373,322.5154100000034,0.014928538797885681,0.012820692347497591
NDSN,2024-04-19 15:50:00,BUY,259.33,259.58932999999996,8,2076.7146399999997,1.0,2.0746399999998175,2077.7146399999997,,,,
NDSN,2024-04-22 15:00:00,NEXT_DAY_EXIT,262.35,262.08765,8,2096.7012,1.0,2.0988000000002103,2095.7012,24.16000000000031,17.986560000000097,0.01164539389966467,0.008656896213620606
AMD,2024-04-22 15:56:00,BUY,148.3904,148.53879039999998,163,24211.822835199997,1.0,24.187635199997146,24212.822835199997,,,,
AMD,2024-04-23 15:00:00,NEXT_DAY_EXIT,153.27,153.11673000000002,163,24958.026990000002,1.0,24.9830099999987,24957.026990000002,795.3748000000018,744.204154800003,0.032883528853618636,0.030735951766767876
WFC,2024-04-24 15:50:00,BUY,60.645,60.705645,980,59491.5321,4.9,59.432099999993966,59496.4321,,,,
WFC,2024-04-25 15:02:00,NEXT_DAY_EXIT,60.17,60.10983,980,58907.6334,4.9,58.9665999999994,58902.7334,-465.50000000000136,-593.6987000000008,-0.007832467639541617,-0.00997872778324132
GILD,2024-04-25 16:02:00,BUY,65.07,65.13506999999998,313,20387.276909999997,1.565,20.366909999997347,20388.841909999996,,,,
